train_number,train_name,train_type,corridor_id,source_code,dest_code,run_days,corridor_stops,train_gap_coverage_potential
13009,Doon Express,MAIL EXPRESS,bly_bwn_asn_trunk,BLY,ASN,"mon,tue,wed,thu,fri,sat,sun",BLY(20:34/20:34) -> BWN(22:15/22:17) -> ASN(23:51/23:56),55 mins
13010,Doon Express,MAIL EXPRESS,bly_bwn_asn_trunk,ASN,BLY,"mon,tue,wed,thu,fri,sat,sun",ASN(02:28/02:33) -> BWN(04:23/04:25) -> BLY(06:32/06:32),50 mins
13019,Bagh Express,MAIL EXPRESS,bly_bwn_asn_trunk,BLY,ASN,"mon,tue,wed,thu,fri,sat,sun",BLY(21:49/21:49) -> BWN(23:21/23:23) -> ASN(01:11/01:16),43 mins
13020,Bagh Express,MAIL EXPRESS,bly_bwn_asn_trunk,ASN,BLY,"mon,tue,wed,thu,fri,sat,sun",ASN(05:24/05:34) -> BWN(08:03/08:05) -> BLY(11:00/11:00),70 mins
13021,Mithila Express,MAIL EXPRESS,bly_bwn_asn_trunk,BLY,ASN,"mon,tue,wed,thu,fri,sat,sun",BLY(15:58/15:58) -> BWN(18:08/18:10) -> ASN(19:53/19:58),41 mins
13022,Mithila Express,MAIL EXPRESS,bly_bwn_asn_trunk,ASN,BLY,"mon,tue,wed,thu,fri,sat,sun",ASN(23:05/23:15) -> BWN(01:25/01:27) -> BLY(03:28/03:28),48 mins
13029,Howrah - Mokama Express,MAIL EXPRESS,bly_bwn_asn_trunk,BLY,ASN,"mon,tue,wed,thu,fri,sat,sun",BLY(23:28/23:28) -> BWN(01:28/01:30) -> ASN(03:26/03:36),46 mins
13030,Mokama - Howrah Express,MAIL EXPRESS,bly_bwn_asn_trunk,ASN,BLY,"mon,tue,wed,thu,fri,sat,sun",ASN(21:05/21:25) -> BWN(00:37/00:39) -> BLY(02:38/02:39),47 mins
13043,Howrah - Raxaul Express,MAIL EXPRESS,bly_bwn_asn_trunk,BLY,ASN,"wed,fri",BLY(23:10/23:10) -> BWN(01:04/01:06) -> ASN(02:26/02:31),32 mins
13044,Raxaul - Howrah Express,MAIL EXPRESS,bly_bwn_asn_trunk,ASN,BLY,"thu,sat",ASN(07:48/07:58) -> BWN(09:51/09:53) -> BLY(11:57/11:57),49 mins
13065,Howrah - Anand Vihar Terminal Amrit Bharat Express,Amrit Bharat Express,bly_bwn_asn_trunk,BLY,ASN,thu,BLY(23:21/23:21) -> BWN(01:04/01:06) -> ASN(02:26/02:28),32 mins
13066,Anand Vihar Terminal - Howrah Amrit Bharat Express,Amrit Bharat Express,bly_bwn_asn_trunk,ASN,BLY,sat,ASN(06:20/06:22) -> BWN(07:53/07:55) -> BLY(10:28/10:28),61 mins
